Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
ETH,2021-04-04,2067.5147852089,2011.488248889,2093.7689477643,1983.9925356363
ETH,2021-04-05,2114.1439392315,2076.9769703868,2129.8714520031,2005.4618616129
ETH,2021-04-06,2117.5958108286,2107.4649993634,2151.2542487619,2045.3981058766
ETH,2021-04-07,2011.5504260806,2113.3742316348,2129.3914584458,1933.9071226333
ETH,2021-04-08,2069.660876338,1964.6033762581,2076.8113842204,1950.8914647371
ETH,2021-04-09,2070.601411041,2081.3857854027,2100.2333978021,2050.166955436
ETH,2021-04-10,2118.7059924048,2067.6584243107,2190.7092711711,2059.1617438466
ETH,2021-04-11,2137.0958672385,2133.3263675309,2164.1317975,2111.8299026016
ETH,2021-04-12,2144.4204637437,2151.4067715514,2199.8678801696,2103.671604266
ETH,2021-04-13,2280.9078630653,2137.2770470089,2315.936260515,2135.7268702877
ETH,2021-04-14,2427.8050868766,2299.0545071039,2438.9820496353,2282.7455765206
ETH,2021-04-15,2538.0625778344,2432.6930179144,2542.4273568582,2401.6381877396
ETH,2021-04-16,2438.4295943481,2516.3931678179,2541.5489656186,2328.8307180376
ETH,2021-04-17,2374.755809849,2426.476182434,2495.9216094439,2320.2850168398
